id,title,orig_performers,performers,performer_genders,publication_page_num,catalog_num,voice_use,instrument_use,percussion_use,instrumentation,publication_song_num,tonality,bpm_voice,bpm_drum,bpm,beat_duration,meters,free_translation,analysis
choct52,Stomp Dance Song (h) [First rendition],"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,168,2216,TRUE,FALSE,FALSE,voice,51 [First rendition],minor,63,,63,1,2/4|5/8,,"Two renditions of this song, by the same singer, are presented for comparison. It will be noted that the principal phrase is the same in each. This occurs first in the third measure of the first rendition and appears through- out both performances. The first rendition is characterized by a period formation that does not appear in the second. The rhythmic unit of this performance is interrupted by the vigorous phrase designated as period B. The melody tones of both renditions are those of the fourth 5-toned scale and the song progresses chiefly by whole tones and minor thirds."
choct53,Stomp Dance Song (h) [Second rendition],"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,168,2216,TRUE,FALSE,FALSE,voice,51 [Second rendition],minor,72,,72,1,2/4,,"Two renditions of this song, by the same singer, are presented for comparison. It will be noted that the principal phrase is the same in each. This occurs first in the third measure of the first rendition and appears through- out both performances. The first rendition is characterized by a period formation that does not appear in the second. The rhythmic unit of this performance is interrupted by the vigorous phrase designated as period B. The melody tones of both renditions are those of the fourth 5-toned scale and the song progresses chiefly by whole tones and minor thirds."
choct54,Stomp Dance Song (i) [First rendition],Gus Willis,Gus Willis,male,169,2271,TRUE,FALSE,FALSE,voice,52 [First rendition],minor,66,,66,1,2/4|3/4,,"Two renditions of this song were recorded and both are presented, the second followed by the first after a short pause. Slight differences occur and will be readily noted. The tones, the tempo, and the pitch of the two are the same, also the use of two rhythmic units. The first rendition contains an introductory phrase which is indicated as a rhythmic unit. This does not occur in the repetition of the song."
choct55,Stomp Dance Song (i) [Second rendition],Gus Willis,Gus Willis,male,169,2271,TRUE,FALSE,FALSE,voice,52 [Second rendition],minor,66,,66,1,2/4|3/4,,"Two renditions of this song were recorded and both are presented, the second followed by the first after a short pause. Slight differences occur and will be readily noted. The tones, the tempo, and the pitch of the two are the same, also the use of two rhythmic units. The first rendition contains an introductory phrase which is indicated as a rhythmic unit. This does not occur in the repetition of the song."
choct56,Stomp Dance Song (j),Lysander Tubby,Lysander Tubby,male,170,2372,TRUE,FALSE,FALSE,voice,53,minor,108|76,,108|76,1,2/4|3/4,,"These songs (Nos. 53-55) are minor in tonality. The keynote is the lowest tone in each, and the principal progression is between this tone and its third. Nos. 54 and 55 contain the tones of the complete triad. The rhythm of these songs is simple, and the rhythmic nnits in Nos. 54 and 55 contain only one measure. When transcribing No. 53, a sharp sound was heard on the record. This was identified as the barking of Tubby's dog, which was allowed in the room while he recorded his songs.
An additional Stomp dance recorded by Willis was not transcribed. This melody consists entirely of ascending and descending fourths, repeated rhythmically and forming a brief melodic phrase."
choct57,Stomp Dance Song (k),Robert Henry,Robert Henry,male,170,2354,TRUE,FALSE,FALSE,voice,54,minor,63|96,,63|96,1,2/4|3/4,,"These songs (Nos. 53-55) are minor in tonality. The keynote is the lowest tone in each, and the principal progression is between this tone and its third. Nos. 54 and 55 contain the tones of the complete triad. The rhythm of these songs is simple, and the rhythmic nnits in Nos. 54 and 55 contain only one measure. When transcribing No. 53, a sharp sound was heard on the record. This was identified as the barking of Tubby's dog, which was allowed in the room while he recorded his songs.
An additional Stomp dance recorded by Willis was not transcribed. This melody consists entirely of ascending and descending fourths, repeated rhythmically and forming a brief melodic phrase."
choct58,Stomp Dance Song (l),Olman Comby,Olman Comby,male,171,2353,TRUE,FALSE,FALSE,voice,55,minor,69,,69,1,2/4|7/8|5/8|3/4,,"These songs (Nos. 53-55) are minor in tonality. The keynote is the lowest tone in each, and the principal progression is between this tone and its third. Nos. 54 and 55 contain the tones of the complete triad. The rhythm of these songs is simple, and the rhythmic nnits in Nos. 54 and 55 contain only one measure. When transcribing No. 53, a sharp sound was heard on the record. This was identified as the barking of Tubby's dog, which was allowed in the room while he recorded his songs.
An additional Stomp dance recorded by Willis was not transcribed. This melody consists entirely of ascending and descending fourths, repeated rhythmically and forming a brief melodic phrase."
choct59,Backward-and-forward Dance Song,"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,171,2206,TRUE,FALSE,FALSE,voice,56,major,120,,120,1,2/4,,"Three periods comprise this melody, each having its own rhythmic imit. The second period begins on a higher tone, but the remainder of the melody contains only the tones A and B."
choct60,Terrapin Dance Song (a),"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,172,2207,TRUE,FALSE,FALSE,voice,57,major,132,,132,1,2/4|3/4|5/8,,"This melody consists of four repetitions of the rhythmic unit. In three of its occurrences it is preceded by an unaccented tone and in the first by an accented half note. The tone material is that of the fourth 5-toned scale and about half the progressions are whole tones. An increase in tempo, customary in the dance, is shown in the transcription."
choct61,Terrapin Dance Song (b),Robert Henry,Robert Henry,male,173,2356,TRUE,TRUE,TRUE,sticks|voice,58,major,72,72,72,1,3/4,,"The descent of an octave in the first and second measures of this song is interesting and unusual. A long descent occurs four times in the song, each descent being in two measures. The rhythmic unit is modified in the closing measures of the melody."
choct62,Quail Dance Song,"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,173,2265,TRUE,FALSE,FALSE,voice,59,major,76,,76,1,2/4|3/4|3/8,,"The principal interval in this song is a major third (A-C sharp), which is followed in the second measure by a descent to F sharp, forming a minor triad, and in the fourth measure by a descent to E, completing a major triad. This form continues throughout the song and has been noted in numerous other Choctaw songs. Two rhythmic units occur, and the melody progresses by 18 ascending and 19 descending intervals. The tempo increased from quarter=76 to quarter =92 in the repetitions of the song."
choct63,Turkey Dance Song,"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,174,2209,TRUE,TRUE,TRUE,sticks|voice,60,major,72,,72,1,2/4,,"This melody is an interesting example of period formation, the second period being short, higher in pitch than the first and different in rhythm. A recurrence of the first period closes the song. Two rhythmic units occur, neither being in the second period. The first unit is based on a minor third and the second on the interval of a fourth, these units occurring chiefly in descending progression. Fourths and whole tones are equal in number, which is unusual in Indian songs. A swaying motion, with ascending and descending intervals in rapid succession, characterizes this and has been noted in other Choctaw dance songs."
choct64,Chicken Dance Song,"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,175,2193,TRUE,TRUE,TRUE,sticks|voice,61,irregular,63,,63,1,3/4|2/4,,"This was the first song recorded by Sidney Wesley. After he had recorded a second song, he expressed dissatisfaction with his first performance, saying he had not recorded the entire song and asking that another record be made. This was done, and the transcription is from his second recording of the song. On comparing the two performances, it was found that the first did not contain the third period. This, together with the intricate rhythm of the song, is an evidence of musical ability on the part of the singer. An entire change of rhythm occurs in the second period which is made emphatic by an accent on a sixteenth note. Four rhythmic units are shown in the transcription. The fourth unit begins with an unaccented tone, the next measure comprising the latter portion of the third rhythmic unit. About half the intervals are whole tones, and the fourths and major thirds are equal in number."
choct65,Pleasure Dance Song,"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,176,2214,TRUE,TRUE,TRUE,sticks|voice,62,minor,69,69,69,1,2/4,,"The opening phrases of this song contain two descending fourths followed by two ascending fourths. In the fourth and fifth measures are found three consecutive ascending fourths with a slight prolonging of the highest tone. The tempo of the striking sticks was not maintained steadily, sometimes being slightly faster than the tempo of the voice."
choct66,Hunting Song,Lysander Tubby,Lysander Tubby,male,177,2272,TRUE,FALSE,FALSE,voice,63,minor,84|100,,84|100,1,2/4|5/8|3/4|,"Go and grind some corn, we will go camping,
Go and sew, we will go camping,
I passed on and you were sitting there crying.
You were lazy and your hoe is rusty.","The entire performauce of this song was transcribed and occupied 2 minutes. In tonality tlie song is minor, the tones being those of the second 5-toned scale. A slight change in tempo occurred, the change being gradual, and the original tempo resumed after a few measures. This change took place in each rendition. Phrases in the latter portion of the song were sometimes sung in a slightly faster tempo, but the change was not clear enough to be indicated in the transcription. Probably these changes in tempo were con- nected with the words of the song."
choct67,Rabbit in the Garden,"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,179,2212,TRUE,FALSE,FALSE,voice,64,major,88,,88,1,2/4|3/4|5/8,"O some ladles' chain, Rabbit putting in the garden, can't come out. I bet you five dollars can't come out.","This melody is short and its repetitions are transcribed because of the interest in the words. The structure is clear and comprises five phrases with practically the same rhythm. There is a peculiar quality in the rhythm that would make possible the continuance of the song for a long time. The tones are those of the fourth 5-toned scale, the entire melody lying above the keynote."
choct68,A Dog Chases a Raccon,"Lapintabeseihoke [Kills it Himself, Sidney Wesley]",Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,180,2213,TRUE,FALSE,FALSE,voice,65,major,88,,88,1,2/4|3/4,,"The structure of this melody is freely melodic. The song is based on consecutive descending fourths, tliese being C-G and B flat-F. A minor third occurs in the fourth measure and a minor triad in the measure before the spoken words. These progressions suggest G as the keynote of the song. A slow rhythmic unit and a steady rhythm characterize the song which contains no suggestion of a chase. Instead it seems to reflect the mood of an observer, as indicated by the words. The song contains 10 ascending and 9 descending intervals"
